user_id,group_id,preference,time,delete
14814,35891,PASTA,"06/14/2023, 14:22:28",0
14814,35891,VERDURE,"06/14/2023, 14:22:32",0
14814,35891,TORTELLINI,"06/14/2023, 14:22:39",0
14812,35892,PIZZA,"06/14/2023, 14:24:44",0
14814,35893,CARNE,"06/14/2023, 14:25:00",0
14814,35893,VERDURE,"06/14/2023, 14:25:04",0
14822,35893,TORTELLINI,"06/14/2023, 14:25:13",0
14822,35893,PESCE,"06/14/2023, 14:25:17",0
14822,35893,CARNE,"06/14/2023, 14:25:20",0
14822,35893,GNOCCHI,"06/14/2023, 14:25:28",0
14822,35893,VERDURE,"06/14/2023, 14:25:28",0
14822,35893,RISO,"06/14/2023, 14:25:32",0
14808,35894,CARNE,"06/14/2023, 14:25:39",0
14808,35894,GNOCCHI,"06/14/2023, 14:25:47",0
14808,35894,PESCE,"06/14/2023, 14:25:51",0
14814,35898,LEGUMI,"06/14/2023, 14:32:00",0
14814,35906,GNOCCHI,"06/14/2023, 14:46:48",0
14835,35906,TORTELLINI,"06/14/2023, 14:52:51",0
14835,35906,PESCE,"06/14/2023, 14:52:55",0
14835,35906,CARNE,"06/14/2023, 14:52:58",0
14835,35906,GNOCCHI,"06/14/2023, 14:53:02",0
14835,35906,RISO,"06/14/2023, 14:53:06",0
14835,35906,VERDURE,"06/14/2023, 14:53:13",0
14836,35906,PIZZA,"06/14/2023, 14:53:17",0
14836,35906,LEGUMI,"06/14/2023, 14:53:17",0
14812,35909,LEGUMI,"06/14/2023, 14:55:01",0
14869,35938,CARNE,"06/14/2023, 15:39:56",0
14869,35938,TORTELLINI,"06/14/2023, 15:40:00",0
14869,35940,PIZZA,"06/14/2023, 15:48:08",0
14640,35959,PIZZA,"06/14/2023, 16:01:29",0
14640,35968,LEGUMI,"06/14/2023, 16:02:13",0
14640,35968,CARNE,"06/14/2023, 16:02:59",0
14640,35968,PESCE,"06/14/2023, 16:03:12",0
14640,35968,PESCE,"06/14/2023, 16:03:12",0
14640,35968,PIZZA,"06/14/2023, 16:03:16",0
14904,35968,PASTA,"06/14/2023, 16:04:21",0
14904,35968,PIZZA,"06/14/2023, 16:04:25",0
14904,35968,CARNE,"06/14/2023, 16:04:32",0
14904,35968,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 16:04:36",0
14640,35984,CARNE,"06/14/2023, 16:07:56",0
14640,35984,LEGUMI,"06/14/2023, 16:08:04",0
14640,35986,PIZZA,"06/14/2023, 16:08:34",0
14640,35995,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 16:11:10",0
14640,35995,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 16:11:14",0
14640,35995,PIZZA,"06/14/2023, 16:11:18",0
14640,35995,CARNE,"06/14/2023, 16:11:22",0
14640,36001,CARNE,"06/14/2023, 16:12:50",0
14640,36001,PIZZA,"06/14/2023, 16:13:16",0
14640,36004,CARNE,"06/14/2023, 16:13:54",0
14640,36004,PASTA,"06/14/2023, 16:14:14",0
14640,36004,PASTA,"06/14/2023, 16:14:18",0
14640,36004,PIZZA,"06/14/2023, 16:14:26",0
14640,36004,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 16:14:26",0
14640,36004,CARNE,"06/14/2023, 16:14:30",0
14729,36005,PIZZA,"06/14/2023, 16:19:18",0
14944,36005,PIZZA,"06/14/2023, 16:20:05",0
14729,36009,LEGUMI,"06/14/2023, 16:21:24",0
15023,36081,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 18:29:11",0
15023,36081,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 18:29:15",0
14640,36084,CARNE,"06/14/2023, 18:31:33",0
14640,36084,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 18:31:33",0
14640,36085,PIZZA,"06/14/2023, 18:32:12",0
14682,36102,PIZZA,"06/14/2023, 19:16:51",0
14710,36181,PASTA,"06/14/2023, 21:19:19",0
15135,36181,TORTELLINI,"06/14/2023, 21:23:55",0
15135,36181,PIZZA,"06/14/2023, 21:23:59",0
15135,36181,PASTA,"06/14/2023, 21:23:59",0
14718,36199,PIZZA,"06/14/2023, 21:33:36",0
14718,36199,PESCE,"06/14/2023, 21:33:40",0
14681,36231,CARNE,"06/14/2023, 21:51:35",0
14681,36231,TORTELLINI,"06/14/2023, 21:51:35",0
14709,36255,PASTA,"06/14/2023, 22:12:56",0
14709,36255,TORTELLINI,"06/14/2023, 22:12:56",0
14709,36266,PIZZA,"06/14/2023, 22:17:19",0
