,user_id,group_id,preference,time,delete
0,14814,35891,PASTA,"06/14/2023, 14:22:28",0
1,14814,35891,VERDURE,"06/14/2023, 14:22:32",0
2,14814,35891,TORTELLINI,"06/14/2023, 14:22:39",0
3,14812,35892,PIZZA,"06/14/2023, 14:24:44",0
4,14814,35893,CARNE,"06/14/2023, 14:25:00",0
5,14814,35893,VERDURE,"06/14/2023, 14:25:04",0
6,14822,35893,TORTELLINI,"06/14/2023, 14:25:13",0
7,14822,35893,PESCE,"06/14/2023, 14:25:17",0
8,14822,35893,CARNE,"06/14/2023, 14:25:20",0
9,14822,35893,GNOCCHI,"06/14/2023, 14:25:28",0
10,14822,35893,VERDURE,"06/14/2023, 14:25:28",0
11,14822,35893,RISO,"06/14/2023, 14:25:32",0
12,14808,35894,CARNE,"06/14/2023, 14:25:39",0
13,14808,35894,GNOCCHI,"06/14/2023, 14:25:47",0
14,14808,35894,PESCE,"06/14/2023, 14:25:51",0
15,14814,35898,LEGUMI,"06/14/2023, 14:32:00",0
16,14814,35906,GNOCCHI,"06/14/2023, 14:46:48",0
17,14835,35906,TORTELLINI,"06/14/2023, 14:52:51",0
18,14835,35906,PESCE,"06/14/2023, 14:52:55",0
19,14835,35906,CARNE,"06/14/2023, 14:52:58",0
20,14835,35906,GNOCCHI,"06/14/2023, 14:53:02",0
21,14835,35906,RISO,"06/14/2023, 14:53:06",0
22,14835,35906,VERDURE,"06/14/2023, 14:53:13",0
23,14836,35906,PIZZA,"06/14/2023, 14:53:17",0
24,14836,35906,LEGUMI,"06/14/2023, 14:53:17",0
25,14812,35909,LEGUMI,"06/14/2023, 14:55:01",0
26,14869,35938,CARNE,"06/14/2023, 15:39:56",0
27,14869,35938,TORTELLINI,"06/14/2023, 15:40:00",0
28,14869,35940,PIZZA,"06/14/2023, 15:48:08",0
29,14640,35959,PIZZA,"06/14/2023, 16:01:29",0
30,14640,35968,LEGUMI,"06/14/2023, 16:02:13",0
31,14640,35968,CARNE,"06/14/2023, 16:02:59",0
32,14640,35968,PESCE,"06/14/2023, 16:03:12",1
33,14640,35968,PESCE,"06/14/2023, 16:03:12",1
34,14640,35968,PIZZA,"06/14/2023, 16:03:16",0
35,14904,35968,PASTA,"06/14/2023, 16:04:21",0
36,14904,35968,PIZZA,"06/14/2023, 16:04:25",0
37,14904,35968,CARNE,"06/14/2023, 16:04:32",0
38,14904,35968,CROSTACEI_E_MOLLUSCHI,"06/14/2023, 16:04:36",0
39,14640,35984,CARNE,"06/14/2023, 16:07:56",0
40,14640,35984,LEGUMI,"06/14/2023, 16:08:04",0
41,14640,35986,PIZZA,"06/14/2023, 16:08:34",0
