"id","user_id","organizer","member","choice"
1,0,0,0,0
53,13178,0,0,29
54,13178,0,0,29
55,13178,0,0,18
56,13178,0,0,29
57,13178,0,0,29
58,13178,0,0,29
59,13178,0,0,29
60,13182,0,0,4
61,13544,0,0,22
62,13544,0,0,29
63,13542,0,0,8
64,13535,0,0,25
65,13529,0,0,12
66,13711,0,0,15
67,13595,0,0,5
68,13815,0,0,32
69,13810,0,0,22
70,13870,0,0,29
71,13865,0,0,29
72,13869,0,0,29
73,13983,0,0,26
74,13982,0,0,5
75,13985,0,0,23
76,13986,0,0,30
77,14127,0,0,29
78,14193,0,0,31
79,14194,0,0,22
80,14207,0,0,22
81,14206,0,0,5
82,14206,0,0,5
83,14208,0,0,18
84,14206,0,0,29
85,14206,0,0,22
86,14504,0,0,29
87,14504,0,0,29
88,14720,0,0,29
92,14748,0,0,4
93,14750,0,0,18
94,14681,0,0,5
95,14745,0,0,29
96,14668,0,0,5
97,14675,0,0,18
98,14763,0,0,29
99,14920,0,0,18
100,14902,0,0,18
101,14801,0,0,29
102,14671,0,0,26
103,14660,0,0,29
104,14749,0,0,29
105,14909,0,0,5
106,14935,0,0,29
107,14700,0,0,5
108,14906,0,0,5
109,14906,0,0,5
110,14923,0,0,4
111,14702,0,0,29
112,14773,0,0,5
113,14701,0,0,5
114,14707,0,0,5
115,14641,0,0,18
116,14782,0,0,25
117,14781,0,0,24
118,14911,0,0,24
119,14927,0,0,7
120,14685,0,0,5
121,14712,0,0,5
122,14809,0,0,23
123,14706,0,0,18
124,14717,0,0,5
126,14780,0,0,5
127,14758,0,0,10
128,14780,0,0,5
129,14758,0,0,10
130,14708,0,0,18
131,14676,0,0,18
132,14698,0,0,29
133,14688,0,0,18
134,14640,0,0,29
135,14640,0,0,29
136,14690,0,0,5
137,14784,0,0,30
138,14661,0,0,29
139,14655,0,0,32
140,14659,0,0,5
141,14777,0,0,29
142,14785,0,0,5
143,14785,0,0,29
144,14806,0,0,26
145,14660,0,0,29
146,14712,0,0,5
147,14712,0,0,5
148,14695,0,0,17
149,14657,0,0,29
150,14648,0,0,5
151,14648,0,0,5
152,14775,0,0,29
153,14767,0,0,5
154,14657,0,0,5
155,14650,0,0,5
156,14693,0,0,18
157,14693,0,0,18
158,14753,0,0,29
159,14734,0,0,22
160,14789,0,0,29
161,14703,0,0,5
162,14729,0,0,29
163,14803,0,0,5
164,14783,0,0,32
165,14756,0,0,18
166,14709,0,0,5
167,14709,0,0,5
168,14902,0,0,29
169,14691,0,0,5
170,14691,0,0,5
171,14807,0,0,28
172,14642,0,0,29
173,14797,0,0,29
174,14697,0,0,6
175,14902,0,0,18
176,14754,0,0,5
177,14905,0,0,5
178,14932,0,0,5
179,14639,0,0,5
180,14670,0,0,5
181,14670,0,0,5
182,14660,0,0,29
183,14793,0,0,18
184,14728,0,0,5
185,14673,0,0,18
186,14788,0,0,5
187,14705,0,0,22
188,14741,0,0,18
189,14647,0,0,5
190,14761,0,0,32
191,14643,0,0,5
192,14681,0,0,4
193,14769,0,0,25
194,14769,0,0,18
195,14769,0,0,5
196,14653,0,0,5
197,14774,0,0,29
198,14772,0,0,26
199,14772,0,0,26
200,14652,0,0,5
201,14652,0,0,5
202,14682,0,0,32
203,14744,0,0,5
204,14744,0,0,5
205,14710,0,0,5
206,14798,0,0,30
207,14798,0,0,30
208,14731,0,0,5
209,14798,0,0,30
210,14686,0,0,5
211,14644,0,0,5
212,14645,0,0,5
213,14791,0,0,5
214,14792,0,0,5
215,14687,0,0,18
216,14663,0,0,26
217,14746,0,0,32
218,14732,0,0,25
219,14721,0,0,5
220,14721,0,0,5
221,14679,0,0,29
222,14679,0,0,29
223,14786,0,0,3
224,14786,0,0,3
225,14786,0,0,3
226,14678,0,0,5
227,14666,0,0,5
228,14662,0,0,29
229,14678,0,0,24
230,14662,0,0,29
231,14678,0,0,5
232,14678,0,0,5
233,14677,0,0,5
234,14677,0,0,5
235,14677,0,0,5
236,14677,0,0,5
237,14677,0,0,5
238,14770,0,0,29
239,14719,0,0,4
240,14713,0,0,18
241,14778,0,0,22
242,14683,0,0,5
243,14672,0,0,18
244,14760,0,0,18
245,14800,0,0,5
246,14694,0,0,29
247,14783,0,0,25
248,14783,0,0,25
